"","Row","MasterGridDataID","ObjLabel","TypeName","IsClosed","FilingDate","NumString","Applicant","Location","Descr","Status","StatusDate","ModifiedDate","PublicDocCount","Zoning","X","Y","HouseNum","HouseNumInt","StreetName","City","St","Zip","Parcel","Guid","Origin","Division","Last.Compliance.Date","Open.Violations","Total.Violations","Date.Received","Date.Certified.Letter.Sent","Date.Letter.Picked.Up","Address","Comments","id","address","city","stateprov","country","name","desc","color","Source.of.Concern","type","era","geometry"
"35",775,216535,"Code Incident","Tall Grass and Weeds","True",2019-09-13,"1909C-0023-TGW","Anonymous","1080 Park Rd","Tall grass","Tall Weeds and Grass Notice","9/13/2019 4:12:36 PM","11/8/2019 1:50:22 PM",0,"B-2",11374445.98,6853713.51,"1080",1080,"Park Rd","Harrisonburg","VA",22802,"048 D 29","9e6313cb-d55b-4982-a5f6-b03394060b0d","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.87886, 38.4680129)
"36",831,149714,"Code Incident","Tall Grass and Weeds","True",2019-06-03,"1906C-0001-TGW","Anonymous","2125 Whispering Springs Rd","Tall grass","2nd Notice - TGW","11/21/2019 2:36:24 PM","1/8/2020 8:51:10 AM",0,"R-1",11372504.77,6834213.53,"2125",2125,"Whispering Springs Rd","Harrisonburg","VA",22801,"003 C 24","ce2651a6-a6f5-4acd-843a-3a27dcbf0ac0","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8853542, 38.414445)
"37",885,216486,"Code Incident","Tall Grass and Weeds","True",2019-09-10,"1909C-0005-TGW","Anonymous","70 Baxter Dr","tall grass rear of property","2nd Notice - TGW","11/22/2019 10:33:58 AM","2/10/2020 10:04:24 AM",0,"B-2",11366849.93,6833789.33,"70",70,"Baxter Dr","Harrisonburg","VA",22801,"001 C 11","fffc374c-ae9d-46a7-9801-f8c96615b4e7","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.9050837, 38.4132133)
"38",942,218683,"Code Incident","Tall Grass and Weeds","True",2020-04-13,"2004C-0011-TGW","Jim Richardson","450 Myers Ave","Tall grass and weeds","Verbal Notice","5/4/2020 2:34:46 PM","5/12/2020 8:28:47 AM",0,"R-1",11379123.36,6844334.14,"450",450,"Myers Ave","Harrisonburg","VA",22801,"027 V  7","aef68a75-9f5c-44db-95a4-7d57df62ab8b","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.862394, 38.4423097)
"39",953,218713,"Code Incident","Tall Grass and Weeds","True",2020-04-28,"2004C-0014-TGW","Anonymous","206 Campbell St","Tall grass","Return Receipt Rc'd","5/18/2020 4:12:09 PM","5/22/2020 4:59:48 PM",0,"U-R",11377673.98,6845455.75,"206",206,"Campbell St","Harrisonburg","VA",22801,"026 N  1","2c0251e3-17f4-4666-be21-f55eb9c2e96d","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8674701, 38.4453737)
"40",961,218878,"Code Incident","Tall Grass and Weeds","True",2020-05-21,"2005C-0019-TGW","Anonymous","824 Honeysuckle Ln","Tall grass almost 2 feet","Tall Weeds and Grass Notice","5/22/2020 3:41:44 PM","6/2/2020 3:27:45 PM",0,"R-1",11382696.11,6845639.7,"824",824,"Honeysuckle Ln","Harrisonburg","VA",22802,"028 O 10","828d296e-ee3c-4c99-94db-e086ec110032","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8499373, 38.4459327)
"41",962,218677,"Code Incident","Tall Grass and Weeds","True",2020-05-04,"2005C-0002-TGW","Anonymous","2125 Whispering Springs Rd","Tall grass ","Tall Weeds and Grass Notice","5/6/2020 4:32:08 PM","6/4/2020 9:05:58 AM",0,"R-1",11372504.77,6834213.53,"2125",2125,"Whispering Springs Rd","Harrisonburg","VA",22801,"003 C 24","f085fedc-e832-46b0-aa9f-228ea49a10e7","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8853542, 38.414445)
"42",969,218910,"Code Incident","Tall Grass and Weeds","True",2020-05-27,"2005C-0027-TGW","Anonymous","2051 Willow Hill Dr","Entire end of Willow Hill Drive on left side tall grass","Tall Weeds and Grass Notice","6/2/2020 4:11:20 PM","6/10/2020 10:25:02 AM",0,"R-2",11368744.43,6838458.62,"2051",2051,"Willow Hill Dr","Harrisonburg","VA",22801,"008 H 15","ad4517b5-510b-420a-93b0-e865447539e9","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8985425, 38.4260577)
"43",970,218899,"Code Incident","Tall Grass and Weeds","True",2020-05-26,"2005C-0024-TGW","Anonymous","1210 Goldfinch Dr","Tall grass ","Door Hanger","5/27/2020 8:45:00 AM","6/10/2020 10:25:22 AM",0,"R-3",11384354.22,6847457.21,"1210",1210,"Goldfinch Dr","Harrisonburg","VA",22802,"031 G 31","06a9ea20-8551-459c-b5f6-036005e944a4","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8441715, 38.4509407)
"44",984,218964,"Code Incident","Tall Grass and Weeds","True",2020-06-01,"2006C-0002-TGW","Anonymous","714 Greenbriar Dr","Tall grass about 2 ft tall ","Tall Weeds and Grass Notice","6/2/2020 3:27:51 PM","6/25/2020 10:53:33 AM",0,"R-1",11376190.87,6839222.4,"714",714,"Greenbriar Dr","Harrisonburg","VA",22801,"012 I  3","ecc8d443-923b-43df-b2ff-7295f2d5d7f0","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8725603, 38.4282409)
